"","ID","Int","Slope","Slope.lci","Slope.uci","Rho","r.sq","n","varLDMC","varLMA","lci_2.5","lci_5","lci_10","uci_10","uci_5","uci_2.5","sig","Species","Level"
"1","ACAC-BEN",-0.00171516695196551,0.0490900243267703,0.0290439821563371,0.0829717659042529,0.399547558306666,0.159638251348819,15,0.00118507894770647,2.85583937934749e-06,NA,NA,NA,NA,NA,NA,0.140085112640361,1,"Btw-tree.in.site"
"2","ACAC-GNO",-0.00891744092405711,0.0706128160069409,0.0476983255922013,0.104535530807927,0.740840586079917,0.548844773983235,15,0.00131350508344412,6.54935935876437e-06,NA,NA,NA,NA,NA,NA,0.00157964432330409,1,"Btw-tree.in.site"
"3","ACAC-NAR",-0.00454161029049946,0.0548841149414585,0.0398515166590771,0.0755872379632786,0.839514344133854,0.704784334006494,15,0.00156058051307978,4.70088373359036e-06,NA,NA,NA,NA,NA,NA,9.05804605126015e-05,1,"Btw-tree.in.site"
"4","ACAC-PER",0.0543355363255753,-0.0668649130425316,-0.115946918565057,-0.038560029464489,-0.259323660787334,0.0672487610441445,15,0.000295546593525166,1.32136416993767e-06,NA,NA,NA,NA,NA,NA,0.350649791165956,1,"Btw-tree.in.site"
"5","AMYG-CMP",-0.0178900104932127,0.07916079913262,0.0469125856765256,0.13357677964126,0.406674354327158,0.165384030467411,15,0.00033216145309584,2.0814671984781e-06,NA,NA,NA,NA,NA,NA,0.132501216733828,2,"Btw-tree.in.site"
"6","AMYG-EPF",-0.0192159641366196,0.0858454716251605,0.0506830845790265,0.145402456455775,0.390185596601329,0.152244799795135,15,0.000608120349229583,4.48150946614417e-06,NA,NA,NA,NA,NA,NA,0.150485741506999,2,"Btw-tree.in.site"
"7","AMYG-GRA",-0.0325946817233459,0.113307704585263,0.0740207854622338,0.173446361561936,0.681048425579914,0.463826957984879,15,0.000530142374912323,6.80630493640525e-06,NA,NA,NA,NA,NA,NA,0.005185778330267,2,"Btw-tree.in.site"
"8","AMYG-MER",-0.0119443797929718,0.0676367365930263,0.0449614901908559,0.101747698253222,0.713548046983056,0.509150815353333,15,0.000538628578153559,2.46407931184684e-06,NA,NA,NA,NA,NA,NA,0.00281569631198983,2,"Btw-tree.in.site"
"9","AMYG-TMP",-0.0188425009768831,0.0820870434819334,0.0580648834888126,0.116047467983004,0.827464542991809,0.684697569908643,14,0.000773001682417401,5.20870386958261e-06,NA,NA,NA,NA,NA,NA,0.000259737178727161,2,"Btw-tree.in.site"
"10","COCA-GRIM",0.000560396579599338,0.032945061687796,0.0208705561681636,0.0520051828455028,0.91162037199732,0.831051702640532,7,0.00120369491085139,2.57222714137701e-06,NA,NA,NA,NA,NA,NA,0.00425065549906594,3,"Btw-tree.in.site"
"11","COCA-LP",-0.0268958183181058,0.0880072494067008,0.0552129384595187,0.140280089490472,0.685289858109697,0.469622189628008,13,0.000277954021161642,2.15283059479018e-06,NA,NA,NA,NA,NA,NA,0.00973458718881148,3,"Btw-tree.in.site"
"12","COCA-MIDG",-0.0236833569758304,0.0843990110062318,0.0490045027851122,0.145357929455293,0.419944270773664,0.176353190555625,14,0.000357129149066634,2.54389987573727e-06,NA,NA,NA,NA,NA,NA,0.134932667331653,3,"Btw-tree.in.site"
"13","COCA-STIR",0.0792668445078167,-0.113741648081783,-0.200747809740128,-0.0644448501087389,-0.00138734604400756,1.92472904582342e-06,15,0.000198570673513359,2.56894107260936e-06,NA,NA,NA,NA,NA,NA,0.996084823300761,3,"Btw-tree.in.site"
"14","COCA-WAL",-0.0148166692940564,0.0688440812707739,0.0491115308708516,0.0965049845112829,0.836963691832723,0.700508221446262,14,0.000504446109179642,2.39082613092687e-06,NA,NA,NA,NA,NA,NA,0.00018898505738756,3,"Btw-tree.in.site"
"15","EMARG-GRIM",-0.0330169595183463,0.097834800387343,0.0466537491029587,0.20516353671187,0.112834017124395,0.0127315154204284,10,0.000304179637634059,2.7209831647061e-06,NA,NA,NA,NA,NA,NA,0.756294104238751,4,"Btw-tree.in.site"
"16","EMARG-LP",-0.0145914306388894,0.0638104329170835,0.0402990468760416,0.10103889954495,0.607498721753021,0.369054696931554,15,0.00143889855722468,5.85886591951933e-06,NA,NA,NA,NA,NA,NA,0.01630139225439,4,"Btw-tree.in.site"
"17","EMARG-MIDG",-0.0216881049322124,0.0738996418916164,0.0441009819639088,0.123833003904049,0.435196999471314,0.189396428348835,15,0.000582273494095277,3.1798870099472e-06,NA,NA,NA,NA,NA,NA,0.104952642046317,4,"Btw-tree.in.site"
"18","EMARG-STIR",-0.0315530489662014,0.108541314835225,0.0675998451254927,0.174278757655268,0.572137665748337,0.327341508567956,15,0.000725290879150686,8.54480925436819e-06,NA,NA,NA,NA,NA,NA,0.0258364248221001,4,"Btw-tree.in.site"
"19","EMARG-WAL",-0.0291217197321645,0.0965937744639225,0.0559180019196246,0.166857844430822,0.28538838460763,0.0814465300689528,15,0.000454281568553189,4.23860933359088e-06,NA,NA,NA,NA,NA,NA,0.302512436127411,4,"Btw-tree.in.site"
"20","ESAL-BEN",-0.0366015653725703,0.120430314448712,0.0623915471406851,0.232458743257515,0.350981632041555,0.123188106030554,11,0.000326999121684955,3.09940092071105e-06,NA,NA,NA,NA,NA,NA,0.289903903268912,5,"Btw-tree.in.site"
"21","ESAL-GNO",-0.0223316648929969,0.0926102898212991,0.0544997880087483,0.157370626458369,0.375234764274119,0.140801128319854,15,0.000502144562147153,4.30672608317474e-06,NA,NA,NA,NA,NA,NA,0.168145036306112,5,"Btw-tree.in.site"
"22","ESAL-NAR",-0.0123631806915847,0.0730391061756157,0.0445871786978468,0.11964675018091,0.632839198618767,0.400485451308443,13,0.000729505507354523,3.89170107721045e-06,NA,NA,NA,NA,NA,NA,0.0202636190591968,5,"Btw-tree.in.site"
"23","ESAL-PER",7.08006281609913e-05,0.0495080802268768,0.0325911164183143,0.0752060769042426,0.791768939996341,0.62689805434293,12,0.000595514118496128,2.41335684977253e-06,NA,NA,NA,NA,NA,NA,0.0021477924848693,5,"Btw-tree.in.site"
"24","OBLI-BOF",-0.01539225746362,0.0788574568159386,0.0446820923696899,0.139172052284999,0.0141185918529552,0.000199334635910332,15,0.000412013505461663,2.56210536382935e-06,NA,NA,NA,NA,NA,NA,0.960170873171714,6,"Btw-tree.in.site"
"25","OBLI-GRA",-0.039290226660938,0.128768595605615,0.0716015242062649,0.231578187727904,0.156901087784988,0.0246179513481125,14,0.000347023861102376,5.75412452066104e-06,NA,NA,NA,NA,NA,NA,0.592184891079819,6,"Btw-tree.in.site"
"26","OBLI-MER",-0.0200144005925495,0.0973678288468534,0.0654392352948123,0.144874768961454,0.732478686451092,0.536525026105117,15,0.00104103861919388,9.86956048125794e-06,NA,NA,NA,NA,NA,NA,0.00189912478264941,6,"Btw-tree.in.site"
"27","OBLI-TMP",-0.00952126042850778,0.0647898588283382,0.0438552218305635,0.0957178103719115,0.744182664573816,0.553807838252185,15,0.000953849464516627,4.00399851319075e-06,NA,NA,NA,NA,NA,NA,0.0014647581422913,6,"Btw-tree.in.site"
"28","OVAT-CMP",-0.015970448572903,0.0824930267613043,0.0524085217202588,0.129847193564529,0.621584001794322,0.386366671286643,15,0.000475011902654634,3.23250324426328e-06,NA,NA,NA,NA,NA,NA,0.013372085499231,7,"Btw-tree.in.site"
"29","OVAT-EPF",-0.0412941328168899,0.137735316749791,0.0919092678298925,0.20641027752802,0.720254636633367,0.518766741591864,15,0.000442071054812643,8.38653770832571e-06,NA,NA,NA,NA,NA,NA,0.00245761306020384,7,"Btw-tree.in.site"
"30","OVAT-GRA",-0.0441124342985053,0.141794073619037,0.0853750162082064,0.235496989710067,0.468456310738594,0.219451315070814,15,0.000208236898976009,4.18671932361749e-06,NA,NA,NA,NA,NA,NA,0.0781965452980788,7,"Btw-tree.in.site"
"31","OVAT-MER",-0.0036077766208047,0.0537401810637061,0.0315284385793217,0.0916000661908469,0.671277952482726,0.450614089489401,11,0.00308980078953358,8.92336649651457e-06,NA,NA,NA,NA,NA,NA,0.0237251977020528,7,"Btw-tree.in.site"
"32","VIMI-EPF",-0.0370186085691441,0.121183891436682,0.0663645770398694,0.221285755123776,0.268796402338771,0.0722515059102665,13,0.000326055840880207,4.78830464048948e-06,NA,NA,NA,NA,NA,NA,0.374534399836906,8,"Btw-tree.in.site"
"33","VIMI-FREY",-0.0372537981596674,0.117464580720283,0.0716279098823296,0.192633398719284,0.510915791737981,0.261034946247248,15,0.000404314819560058,5.57870665794751e-06,NA,NA,NA,NA,NA,NA,0.0516176979769548,8,"Btw-tree.in.site"
"34","VIMI-GRA",-0.0445087681011141,0.133525992781682,0.0861432193993921,0.206971493202165,0.655585404887434,0.429792223101421,15,0.000252680255600663,4.50508447544197e-06,NA,NA,NA,NA,NA,NA,0.00796835226332543,8,"Btw-tree.in.site"
"35","VIMI-MER",0.0616441977051089,-0.107313742845284,-0.199695685602133,-0.0576689444678758,-0.0753376741980581,0.00567576515357275,13,0.000370520885420858,4.26700722048989e-06,NA,NA,NA,NA,NA,NA,0.806758394629534,8,"Btw-tree.in.site"
"36","VIMI-TMP",-0.0318996227313573,0.108368896268133,0.072220754889729,0.162610010049114,0.71801579051882,0.515546675434366,15,0.000516830048708837,6.06955786274145e-06,NA,NA,NA,NA,NA,NA,0.00257283906513184,8,"Btw-tree.in.site"
